#Nodes with GAIN events with expectation above 0.5
N2: 0.656153
N3: 1.06626
B3088: 0.719251
BGA709: 0.605098
BGA309: 0.605098
PGA445: 1.83896
Furcep: 1.96922
FGA331: 1.85769
FGA104: 1.07468
FGA174: 1.90194
CGA312: 0.82489
C601: 1.03473
C3125: 1.46279
C12265: 0.653158
C3126: 1.5649
C2208: 0.984077
Kinxen: 0.582982
Riebrev: 3.01411
Total number of gain events: 35.0095
#+++++++++++++++++++++++++++++

#Nodes with LOSS events with expectation above 0.5
B3088: 0.680152
BGA709: 0.600878
BGA309: 0.600878
PGA445: 0.914839
N13: 0.707731
N14: 0.576891
Rhaspe: 2.01642
Rhamar: 1.92776
Rhatem: 1.09307
FGA379: 1.27557
F3015: 1.0569
F1476: 0.98636
N28: 0.745638
FGA465: 0.977067
FGA99: 0.735949
FGA15: 0.717728
FGA489: 1.04284
N40: 0.654069
CGA763: 0.990279
Calboe: 2.48165
CGA429: 1.59518
N49: 0.9993
C984: 1.7798
CGA310: 0.632135
N51: 0.543534
CGA494: 1.03048
N54: 1.40082
C404: 1.03329
CGA45: 1.02526
C3121: 0.929114
Kinxen: 0.707501
Riebrev: 1.22717
N84: 1.47131
Total number of loss events: 48.8432
#+++++++++++++++++++++++++++++

#Nodes with duplication events with expectation above 0.5
Total number of duplication events: 2.73101e-27
#+++++++++++++++++++++++++++++

#Nodes with demi-duplication events with expectation above 0.5
FGA379: 0.990919
N38: 0.668774
N68: 0.951778
N72: 0.961861
N74: 0.599394
Riebrev: 1.90963
N84: 0.872746
Total number of demi-dulications events: 8.94635
#+++++++++++++++++++++++++++++

#+++++++++++++++++++++++++++++

#Nodes with transitions in base number with expectation above 0.5
Total number of transitions in base number: 0
#+++++++++++++++++++++++++++++

#EVENTS NOT ACCOUNTED FOR IN THE SIMULATIONS: 
NONE
#+++++++++++++++++++++++++++++

#ALL EVENTS EXPECTATIONS PER NODE
NODE	GAIN	LOSS	DUPLICATION	DEMI-DUPLICATION	BASE-NUMBER
N2	0.656153	0.0176307	2.73065e-27	0.000202416	0
N3	1.06626	0.118778	9.94119e-36	0.00122319	0
N4	0.093109	0.032175	3.72158e-42	2.64695e-05	0
B3088	0.719251	0.680152	0	2.12636e-05	0
N5	0.0875334	0.052728	4.86493e-43	5.94453e-06	0
BGA709	0.605098	0.600878	0	2.81365e-05	0
BGA309	0.605098	0.600878	0	2.81365e-05	0
N6	0.229544	0.110045	5.59764e-46	3.89898e-05	0
N7	0.204069	0.190965	1.28109e-46	1.37837e-06	0
B11696	0.183183	0.215686	0	4.17363e-07	0
B11609	0.183183	0.215686	0	4.17363e-07	0
N8	0.0407227	0.0311108	2.00348e-51	1.26499e-06	0
N9	0.00922242	0.0078772	6.66652e-55	2.75334e-08	0
N10	0.0616668	0.0564532	7.01703e-41	1.07073e-08	0
B983	0.248793	0.284362	0	3.54935e-08	0
B11604	0.248793	0.284362	0	3.54935e-08	0
N11	0.150894	0.158152	1.55604e-43	3.64573e-08	0
BGAA1	0.113133	0.13623	0	5.41248e-08	0
BGA584	0.113133	0.13623	0	5.41248e-08	0
N12	0.144442	0.144975	3.94679e-54	7.75933e-08	0
BGA303	0.148647	0.177124	0	7.96447e-08	0
BGAB1	0.148647	0.177124	0	7.96447e-08	0
PGA445	1.83896	0.914839	0	0.019964	0
N13	5.33601e-06	0.707731	3.6681e-31	3.75221e-09	0
N14	0.00780981	0.576891	5.06181e-37	2.68628e-10	0
Rhaspe	0.23104	2.01642	0	5.45996e-05	0
N15	0.0057685	0.0851043	9.00962e-36	2.1212e-07	0
Rhamar	0.221672	1.92776	0	7.62179e-05	0
Rhatem	0.381486	1.09307	0	0.00135636	0
N16	0.00407952	0.105378	8.14575e-44	2.35334e-08	0
N17	0.0313682	0.235298	4.82783e-50	0.000710441	0
N18	0.0279394	0.0587725	1.94701e-42	7.54031e-06	0
FGA379	0.364252	1.27557	0	0.990919	0
N19	0.0543711	0.0486089	2.50985e-38	3.33911e-06	0
N20	0.0455064	0.046773	8.83406e-39	3.97185e-06	0
N21	0.00254575	0.052095	1.38945e-42	4.99636e-07	0
F3015	0.0755225	1.0569	0	1.67819e-07	0
N22	0.00409196	0.0104921	8.94871e-41	5.81355e-08	0
N23	0.0166857	0.00471887	3.04728e-42	5.55252e-08	0
