sim_haploidn,tips,sim
12,PGA445,1
18,B983,1
17,BGA584,1
18,BGA303,1
18,B11609,1
18,BGAA1,1
12,B11696,1
17,B11604,1
12,BGAB1,1
16,BGA709,1
11,B3088,1
18,BGA309,1
14,FGA379,1
11,FGA99,1
11,FGA15,1
17,F2241,1
17,F1476,1
18,F12278,1
12,FGA513,1
16,F3015,1
18,FGA331,1
17,FGA581,1
12,Furant,1
10,FGA465,1
11,FGA104,1
15,FGA489,1
18,FGA490,1
18,FGA174,1
18,FGA456,1
12,FurbGB,1
18,Furang,1
12,Furcep,1
11,Furpol,1
14,C2208,1
14,C3043,1
14,CGA45,1
12,CGA429,1
18,CGA312,1
18,CGA236,1
18,CGA453,1
12,C12265,1
12,C404,1
18,Cl11778,1
17,CGA501,1
12,CGA364,1
18,CGA311,1
19,CGA310,1
12,CGA365,1
11,CGA48,1
18,C3126,1
12,C3121,1
19,C984,1
18,C601,1
15,C3125,1
18,C3118,1
18,Calparcri,1
18,CGA642,1
18,CGA494,1
17,CGA763,1
11,Calboe,1
16,Bratha,1
15,Bramel,1
12,Bratra,1
18,Bradra,1
17,Brapum,1
17,Bradam,1
15,Braset,1
18,Bragut,1
18,Braven,1
17,Chacha,1
18,Chacaly,1
12,Chadil,1
17,Chanam,1
14,Chazey,1
14,Chasen,1
17,Chaafr,1
18,Kinboe,1
12,Kinxen,1
11,Kinfis,1
17,Rhatem,1
13,Rhamar,1
11,Rhaspe,1
18,Tribit,1
18,Trihoe,1
17,Trijoh,1
18,Trimel,1
11,Triqua,1
10,Triwie,1
18,Tricri,1
12,Triowe,1
18,Trijac,1
10,PGA445,2
12,B983,2
18,BGA584,2
12,BGA303,2
11,B11609,2
11,BGAA1,2
12,B11696,2
12,B11604,2
18,BGAB1,2
12,BGA709,2
18,B3088,2
14,BGA309,2
18,FGA379,2
16,FGA99,2
17,FGA15,2
17,F2241,2
18,F1476,2
17,F12278,2
13,FGA513,2
12,F3015,2
12,FGA331,2
18,FGA581,2
19,Furant,2
17,FGA465,2
12,FGA104,2
18,FGA489,2
11,FGA490,2
18,FGA174,2
15,FGA456,2
18,FurbGB,2
18,Furang,2
17,Furcep,2
12,Furpol,2
18,C2208,2
17,C3043,2
17,CGA45,2
17,CGA429,2
18,CGA312,2
14,CGA236,2
18,CGA453,2
14,C12265,2
15,C404,2
17,Cl11778,2
19,CGA501,2
15,CGA364,2
18,CGA311,2
17,CGA310,2
18,CGA365,2
15,CGA48,2
14,C3126,2
14,C3121,2
18,C984,2
18,C601,2
11,C3125,2
18,C3118,2
18,Calparcri,2
18,CGA642,2
12,CGA494,2
18,CGA763,2
12,Calboe,2
11,Bratha,2
12,Bramel,2
11,Bratra,2
18,Bradra,2
17,Brapum,2
11,Bradam,2
11,Braset,2
12,Bragut,2
18,Braven,2
18,Chacha,2
17,Chacaly,2
18,Chadil,2
11,Chanam,2
12,Chazey,2
18,Chasen,2
14,Chaafr,2
18,Kinboe,2
10,Kinxen,2
18,Kinfis,2
18,Rhatem,2
17,Rhamar,2
16,Rhaspe,2
16,Tribit,2
18,Trihoe,2
12,Trijoh,2
11,Trimel,2
18,Triqua,2
17,Triwie,2
12,Tricri,2
12,Triowe,2
18,Trijac,2
18,PGA445,3
18,B983,3
10,BGA584,3
18,BGA303,3
18,B11609,3
16,BGAA1,3
17,B11696,3
12,B11604,3
17,BGAB1,3
12,BGA709,3
15,B3088,3
18,BGA309,3
18,FGA379,3
12,FGA99,3
14,FGA15,3
12,F2241,3
12,F1476,3
17,F12278,3
19,FGA513,3
11,F3015,3
12,FGA331,3
15,FGA581,3
17,Furant,3
14,FGA465,3
12,FGA104,3
11,FGA489,3
18,FGA490,3
19,FGA174,3
11,FGA456,3
12,FurbGB,3
16,Furang,3
18,Furcep,3
10,Furpol,3
14,C2208,3
18,C3043,3
18,CGA45,3
18,CGA429,3
11,CGA312,3
17,CGA236,3
12,CGA453,3
17,C12265,3
18,C404,3
18,Cl11778,3
18,CGA501,3
17,CGA364,3
