sim_haploidn,tips,sim
18,PGA445,1
15,PGA363,1
18,B983,1
18,B985,1
16,BGA584,1
11,BGA706,1
12,BGA303,1
11,BGA304,1
18,B11609,1
18,BGA392,1
11,BGAA1,1
12,BGAA2,1
15,BGA89,1
14,BGA40,1
12,B11696,1
18,B11697,1
19,B11604,1
12,BGA583,1
11,BGAB1,1
17,BGA7,1
12,BGA709,1
17,BGA710,1
18,B3088,1
18,B199,1
18,BGAA3,1
18,BGA309,1
18,FGA379,1
18,F647,1
14,FGA99,1
17,F12269,1
12,FGA15,1
17,FGA440,1
18,F2241,1
14,F12266,1
12,F1476,1
11,FGA81,1
13,F12278,1
16,F12279,1
12,FGA513,1
14,FGA516,1
18,F3015,1
12,F3016,1
18,FGA331,1
18,FGA332,1
17,FGA581,1
12,FGA582,1
18,Furant,1
11,FGA465,1
15,FGA104,1
12,FGA105,1
16,FGA489,1
17,FGA490,1
18,FGA174,1
14,FGA175,1
14,FGA456,1
18,FurbGB,1
17,Furang,1
12,Furcep,1
14,Furpol,1
19,C2208,1
17,C3043,1
18,CGA87,1
17,CGA45,1
14,CGA46,1
11,CGA429,1
18,CGA430,1
17,CGA312,1
11,CGA963,1
12,CGA236,1
10,CGA453,1
11,CGA383,1
18,C12265,1
11,C404,1
18,Cl11778,1
12,Cl11779,1
17,CGA501,1
18,C11776,1
17,CGA364,1
18,CGA368,1
17,CGA557,1
18,CGA311,1
12,CGA310,1
17,CGA314,1
18,CGA365,1
19,CGA382,1
18,CGA48,1
16,CGA594,1
11,C3126,1
18,C3134,1
15,C3121,1
18,C3123,1
18,C984,1
11,C985,1
18,C601,1
15,C602,1
17,C3125,1
18,C3118,1
18,Calparcri,1
18,CGA642,1
11,CGA494,1
18,CGA495,1
12,CGA763,1
11,CGA764,1
14,Calboe,1
12,Bratha,1
18,Bramel,1
15,Bratra,1
16,Bradra,1
12,Brapum,1
11,Bradam,1
14,Braset,1
17,Bragut,1
18,Braven,1
18,Chacha,1
18,Chacaly,1
15,Chadil,1
18,Chanam,1
18,Chazey,1
18,Chasen,1
18,Chaafr,1
17,Kinboe,1
16,Kinxen,1
18,Kinfis,1
18,Rhatem,1
12,Rhamar,1
13,Rhaspe,1
18,Tribit,1
18,Trihoe,1
10,Trijoh,1
18,Trimel,1
18,Triqua,1
18,Triwie,1
18,Tricri,1
12,Triowe,1
18,Trijac,1
14,PGA445,2
12,PGA363,2
12,B983,2
18,B985,2
18,BGA584,2
16,BGA706,2
12,BGA303,2
17,BGA304,2
11,B11609,2
11,BGA392,2
12,BGAA1,2
18,BGAA2,2
17,BGA89,2
12,BGA40,2
18,B11696,2
13,B11697,2
12,B11604,2
11,BGA583,2
12,BGAB1,2
17,BGA7,2
18,BGA709,2
18,BGA710,2
15,B3088,2
11,B199,2
18,BGAA3,2
12,BGA309,2
10,FGA379,2
18,F647,2
18,FGA99,2
18,F12269,2
11,FGA15,2
14,FGA440,2
17,F2241,2
14,F12266,2
18,F1476,2
17,FGA81,2
12,F12278,2
18,F12279,2
11,FGA513,2
14,FGA516,2
18,F3015,2
17,F3016,2
18,FGA331,2
11,FGA332,2
14,FGA581,2
15,FGA582,2
18,Furant,2
17,FGA465,2
18,FGA104,2
19,FGA105,2
18,FGA489,2
18,FGA490,2
15,FGA174,2
19,FGA175,2
18,FGA456,2
18,FurbGB,2
15,Furang,2
18,Furcep,2
12,Furpol,2
17,C2208,2
18,C3043,2
18,CGA87,2
18,CGA45,2
17,CGA46,2
12,CGA429,2
18,CGA430,2
11,CGA312,2
18,CGA963,2
11,CGA236,2
18,CGA453,2
17,CGA383,2
18,C12265,2
15,C404,2
16,Cl11778,2
17,Cl11779,2
18,CGA501,2
12,C11776,2
18,CGA364,2
18,CGA368,2
17,CGA557,2
12,CGA311,2
19,CGA310,2
14,CGA314,2
18,CGA365,2
18,CGA382,2
18,CGA48,2
17,CGA594,2
17,C3126,2
17,C3134,2
11,C3121,2
18,C3123,2
18,C984,2
11,C985,2
18,C601,2
12,C602,2
18,C3125,2
13,C3118,2
16,Calparcri,2
12,CGA642,2
18,CGA494,2
17,CGA495,2
11,CGA763,2
18,CGA764,2
14,Calboe,2
12,Bratha,2
11,Bramel,2
12,Bratra,2
12,Bradra,2
18,Brapum,2
18,Bradam,2
11,Braset,2
18,Bragut,2
16,Braven,2
15,Chacha,2
18,Chacaly,2
12,Chadil,2
18,Chanam,2
17,Chazey,2
14,Chasen,2
12,Chaafr,2
18,Kinboe,2
18,Kinxen,2
10,Kinfis,2
18,Rhatem,2
15,Rhamar,2
18,Rhaspe,2
18,Tribit,2
16,Trihoe,2
16,Trijoh,2
14,Trimel,2
18,Triqua,2
11,Triwie,2
18,Tricri,2
14,Triowe,2
18,Trijac,2
17,PGA445,3
18,PGA363,3
18,B983,3
11,B985,3
18,BGA584,3
18,BGA706,3
11,BGA303,3
18,BGA304,3
11,B11609,3
18,BGA392,3
12,BGAA1,3
18,BGAA2,3
18,BGA89,3
12,BGA40,3
18,B11696,3
18,B11697,3
11,B11604,3
18,BGA583,3
12,BGAB1,3
12,BGA7,3
18,BGA709,3
12,BGA710,3
11,B3088,3
19,B199,3
17,BGAA3,3
16,BGA309,3
17,FGA379,3
12,F647,3
17,FGA99,3
18,F12269,3
18,FGA15,3
11,FGA440,3
15,F2241,3
17,F12266,3
18,F1476,3
16,FGA81,3
14,F12278,3
18,F12279,3
18,FGA513,3
12,FGA516,3
17,F3015,3
17,F3016,3
12,FGA331,3
18,FGA332,3
17,FGA581,3
16,FGA582,3
18,Furant,3
15,FGA465,3
12,FGA104,3
18,FGA105,3
11,FGA489,3
11,FGA490,3
18,FGA174,3
18,FGA175,3
18,FGA456,3
13,FurbGB,3
10,Furang,3
16,Furcep,3
16,Furpol,3
14,C2208,3
17,C3043,3
12,CGA87,3
18,CGA45,3
17,CGA46,3
18,CGA429,3
18,CGA430,3
12,CGA312,3
13,CGA963,3
12,CGA236,3
18,CGA453,3
16,CGA383,3
11,C12265,3
11,C404,3
18,Cl11778,3
18,Cl11779,3
12,CGA501,3
